カテゴリ,商品名,価格,エネルギー,蛋白質,脂質,炭水化物,食塩相当量,カルシウム,野菜量,鉄,ビタミンA,ビタミンB1,ビタミンB2,ビタミンC,アレルギー
主菜,ジューシー唐揚げ,385,273kcal,21.5g,13.8g,16.8g,1.7g,24mg,30g,1.0mg,47μgRAE,0.13mg,0.19mg,15mg,卵、小麦、鶏肉、大豆
主菜,ローストチキンおろしソース,385,227kcal,17.7g,14.4g,7.2g,1.9g,23mg,40g,0.9mg,41μgRAE,0.11mg,0.18mg,14mg,小麦、乳成分、豚肉、鶏肉、大豆、りんご
主菜,豚肉の旨辛みそ炒め,341,287kcal,20.9g,15.6g,18.5g,2.0g,37mg,80g,1.2mg,8μgRAE,0.7mg,0.27mg,18mg,小麦、豚肉、大豆、ごま
主菜,チキンカツハニーマスタード,341,372kcal,15.8g,22.6g,28.9g,2.2g,33mg,30g,0.9mg,14μgRAE,0.12mg,0.08mg,13mg,卵、小麦、乳成分、鶏肉、大豆、りんご
主菜,ハンバーグサルサソース,297,229kcal,15.3g,11.2g,16.1g,1.7g,49mg,53g,1.4mg,37μgRAE,0.15mg,0.14mg,21mg,小麦、乳成分、牛肉、鶏肉、大豆
主菜,豚塩ちゃんこ,297,139kcal,10.4g,5.6g,16.6g,3.8g,61mg,197g,0.8mg,131μgRAE,0.27mg,0.17mg,23mg,小麦、豚肉、鶏肉、大豆、ごま
主菜,白身フライチリ玉ソース,297,402kcal,12.2g,22.9g,38.1g,2.0g,41mg,30g,0.4mg,10μgRAE,0.1mg,0.1mg,12mg,卵、小麦、乳成分、鶏肉、大豆、ごま
主菜,さば味噌煮,253,272kcal,13.0g,19.5g,8.8g,1.0g,10mg,0g,0.8mg,32μgRAE,0.1mg,0.25mg,1mg,小麦、鯖、大豆
副菜・サラダ,オクラ巣ごもり玉子,132,81kcal,6.7g,5.5g,3.0g,0.6g,57mg,33g,1.2mg,96μgRAE,0.06mg,0.22mg,2mg,卵、小麦、鯖、大豆
副菜・サラダ,鉄分たっぷり鶏きも煮,99,73kcal,7.8g,1.9g,5.5g,1.2g,4mg,0g,2.8mg,5476μgRAE,0.14mg,0.63mg,7mg,小麦、鶏肉、大豆
副菜・サラダ,ちくわの磯辺揚げ,132,98kcal,8.1g,3.3g,8.9g,1.4g,10mg,0g,0.7mg,0μgRAE,0.03mg,0.05mg,0mg,卵、小麦、大豆
副菜・サラダ,茄子のピリ辛胡麻風味,99,97kcal,0.7g,7.8g,6.7g,0.8g,5mg,40g,0.2mg,1μgRAE,0.03mg,0.02mg,1mg,小麦、大豆、ごま、魚介類
